request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_161,5049563.86,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,wait: completes IDR 21204000 by 2026-01-15; total paid IDR 21204000. Projected 90-day minimum IDR 27860470.84 versus protected 23010400. Safe today before changes: IDR 5049563.86.
request_162,532403.37,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 532403.37.
request_163,7728574.19,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,installments: completes IDR 19304000 by 2024-11-11; total paid IDR 20076159.99. Projected 90-day minimum IDR 27765220.86 versus protected 26728700. Safe today before changes: IDR 7728574.19.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,installments: completes IDR 27018000 by 2025-04-08; total paid IDR 28098720. Projected 90-day minimum IDR 48942758.19 versus protected 29550500. Safe today before changes: IDR 27018000.
request_165,53723.84,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 53723.84.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,installments: completes USD 2907.6 by 2025-02-03; total paid USD 3023.91. Projected 90-day minimum USD 4195.7 versus protected 1700. Safe today before changes: USD 2907.6.
request_167,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 0.
request_168,23661.78,affordable_with_plan,partial_payment,2026-01-07:23661.78|2026-03-15:25718.22,2026-03-15,none,partial_payment: completes INR 49380 by 2026-03-15; total paid INR 49380. Projected 90-day minimum INR 114400 versus protected 114400. Safe today before changes: INR 23661.78.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,full_payment: completes ZAR 41976 by 2024-03-04; total paid ZAR 41976. Projected 90-day minimum ZAR 23431.83 versus protected 18700. Safe today before changes: ZAR 41976.
request_170,28515416.9,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,,stop:event_15577|reduce_to:event_15658:889387.24,installments: completes IDR 36936000 by 2025-10-01; total paid IDR 38413440. Projected 90-day minimum IDR 24715800.01 versus protected 24715800. Safe today before changes: IDR 28515416.9. Requires the listed permitted recurring-spending changes.
request_171,10.72,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 10.72.
request_172,8195.57,affordable_with_plan,partial_payment,2024-06-05:8195.57|2024-07-15:2004.43,2024-07-15,none,partial_payment: completes ZAR 10200 by 2024-07-15; total paid ZAR 10200. Projected 90-day minimum ZAR 27200 versus protected 27200. Safe today before changes: ZAR 8195.57.
request_173,52088.38,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15922:3328.07,installments: completes INR 113000 by 2026-01-16; total paid INR 117519.99. Projected 90-day minimum INR 79100.08 versus protected 79100. Safe today before changes: INR 52088.38. Requires the listed permitted recurring-spending changes.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,stop:event_15951,installments: completes EUR 1146.2 by 2026-06-03; total paid EUR 1192.05. Projected 90-day minimum EUR 726.91 versus protected 700. Safe today before changes: EUR 1146.2. Requires the listed permitted recurring-spending changes.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,full_payment: completes EUR 2346.3 by 2024-09-06; total paid EUR 2346.3. Projected 90-day minimum EUR 1836.91 versus protected 1700. Safe today before changes: EUR 2346.3.
request_176,338.88,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 338.88.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,full_payment: completes USD 1017.6 by 2026-01-05; total paid USD 1017.6. Projected 90-day minimum USD 1349.1 versus protected 1300. Safe today before changes: USD 1017.6.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,installments: completes EUR 2938.1 by 2025-02-07; total paid EUR 3055.62. Projected 90-day minimum EUR 3186.9 versus protected 1400. Safe today before changes: EUR 2938.1.
request_179,4531066.9,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,wait: completes IDR 41648000 by 2025-07-15; total paid IDR 41648000. Projected 90-day minimum IDR 45961866.9 versus protected 41430800. Safe today before changes: IDR 4531066.9.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,full_payment: completes INR 66500 by 2026-07-06; total paid INR 66500. Projected 90-day minimum INR 47211.91 versus protected 37300. Safe today before changes: INR 66500.
request_181,132.87,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 132.87.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,full_payment: completes ZAR 65714 by 2025-08-05; total paid ZAR 65714. Projected 90-day minimum ZAR 42193.44 versus protected 31100. Safe today before changes: ZAR 65714.
request_183,22485922.85,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-06-15,stop:event_16781|reduce_to:event_16783:477489.32|stop:event_16782,installments: completes IDR 26866000 by 2026-06-09; total paid IDR 27940640.01. Projected 90-day minimum IDR 11878300.01 versus protected 11878300. Safe today before changes: IDR 22485922.85. Requires the listed permitted recurring-spending changes.
request_184,4465.97,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 4465.97.
request_185,289.13,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 289.13.
request_186,3048.05,affordable_later,wait,2026-03-15:26554,2026-03-15,none,wait: completes ZAR 26554 by 2026-03-15; total paid ZAR 26554. Projected 90-day minimum ZAR 24434.31 versus protected 22000. Safe today before changes: ZAR 3048.05.
request_187,36573.65,affordable_later,wait,2024-11-15:187500,2024-11-15,none,wait: completes INR 187500 by 2024-11-15; total paid INR 187500. Projected 90-day minimum INR 164873.65 versus protected 128300. Safe today before changes: INR 36573.65.
request_188,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 0.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,full_payment: completes EUR 488.4 by 2026-07-04; total paid EUR 488.4. Projected 90-day minimum EUR 464.36 versus protected 400. Safe today before changes: EUR 488.4.
request_190,395.49,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 395.49.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,full_payment: completes EUR 664.4 by 2025-05-03; total paid EUR 664.4. Projected 90-day minimum EUR 592.08 versus protected 500. Safe today before changes: EUR 664.4.
request_192,3.97,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 3.97.
request_193,0,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,,stop:event_17739,installments: completes EUR 1212.2 by 2024-05-22; total paid EUR 1260.69. Projected 90-day minimum EUR 1010.35 versus protected 1000. Safe today before changes: EUR 0. Requires the listed permitted recurring-spending changes.
request_194,32023.73,affordable_later,wait,2025-10-23:132800,2025-10-23,none,wait: completes INR 132800 by 2025-10-23; total paid INR 132800. Projected 90-day minimum INR 145623.73 versus protected 113600. Safe today before changes: INR 32023.73.
request_195,953.74,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 953.74.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,full_payment: completes EUR 762.3 by 2024-06-03; total paid EUR 762.3. Projected 90-day minimum EUR 656.62 versus protected 500. Safe today before changes: EUR 762.3.
request_197,49388285.56,affordable_with_plan,partial_payment,2025-11-05:49388285.56|2026-01-15:1550714.44,2026-01-15,none,partial_payment: completes IDR 50939000 by 2026-01-15; total paid IDR 50939000. Projected 90-day minimum IDR 26245900 versus protected 26245900. Safe today before changes: IDR 49388285.56.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,full_payment: completes INR 185800 by 2026-07-07; total paid INR 185800. Projected 90-day minimum INR 154640.95 versus protected 124300. Safe today before changes: INR 185800.
request_199,21758355.75,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,,reduce_to:event_18279:873654.43|stop:event_18276,installments: completes IDR 23674000 by 2024-11-08; total paid IDR 24620960.01. Projected 90-day minimum IDR 25359500 versus protected 25359500. Safe today before changes: IDR 21758355.75. Requires the listed permitted recurring-spending changes.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,full_payment: completes IDR 21717000 by 2025-02-06; total paid IDR 21717000. Projected 90-day minimum IDR 23799341.11 versus protected 20114600. Safe today before changes: IDR 21717000.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,full_payment: completes IDR 23997000 by 2026-04-03; total paid IDR 23997000. Projected 90-day minimum IDR 20703726.72 versus protected 17304500. Safe today before changes: IDR 23997000.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,full_payment: completes INR 123900 by 2024-12-05; total paid INR 123900. Projected 90-day minimum INR 163358.88 versus protected 147800. Safe today before changes: INR 123900.
request_203,596.67,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 596.67.
request_204,546.3,affordable_with_plan,full_payment,2026-01-04:588.74,,stop:event_18735|reduce_to:event_18815:50.68,full_payment: completes EUR 588.74 by 2026-01-04; total paid EUR 588.74. Projected 90-day minimum EUR 1300 versus protected 1300. Safe today before changes: EUR 546.3. Requires the listed permitted recurring-spending changes.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,full_payment: completes IDR 10621000 by 2024-03-06; total paid IDR 10621000. Projected 90-day minimum IDR 15121177.09 versus protected 13994300. Safe today before changes: IDR 10621000.
request_206,1366.86,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 1366.86.
request_207,4176.47,affordable_later,wait,2026-07-15:11830,2026-07-15,none,wait: completes ZAR 11830 by 2026-07-15; total paid ZAR 11830. Projected 90-day minimum ZAR 14577.72 versus protected 13600. Safe today before changes: ZAR 4176.47.
request_208,2841210.92,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,wait: completes IDR 4413000 by 2024-06-15; total paid IDR 4413000. Projected 90-day minimum IDR 11449280.95 versus protected 10470700. Safe today before changes: IDR 2841210.92.
request_209,1414.4,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 1414.4.
request_210,802.81,affordable_with_plan,partial_payment,2026-04-06:802.81|2026-04-15:557.21,2026-04-15,none,partial_payment: completes USD 1360.02 by 2026-04-15; total paid USD 1360.02. Projected 90-day minimum USD 2000 versus protected 2000. Safe today before changes: USD 802.81.
request_211,243.51,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,wait: completes EUR 1788.6 by 2024-11-15; total paid EUR 1788.6. Projected 90-day minimum EUR 1743.51 versus protected 1500. Safe today before changes: EUR 243.51.
request_212,2956202.37,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 2956202.37.
request_213,2020.36,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 2020.36.
request_214,34421.08,affordable_with_plan,partial_payment,2024-12-04:34421.08|2025-01-15:35328.92,2025-01-15,none,partial_payment: completes INR 69750 by 2025-01-15; total paid INR 69750. Projected 90-day minimum INR 174900 versus protected 174900. Safe today before changes: INR 34421.08.
request_215,28427.48,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,,stop:event_19761|reduce_to:event_19763:509.1|reduce_to:event_19762:271.7,installments: completes ZAR 29986 by 2025-07-04; total paid ZAR 31185.45. Projected 90-day minimum ZAR 15700.02 versus protected 15700. Safe today before changes: ZAR 28427.48. Requires the listed permitted recurring-spending changes.
request_216,433.94,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,wait: completes USD 3332.4 by 2026-09-15; total paid USD 3332.4. Projected 90-day minimum USD 2233.94 versus protected 1800. Safe today before changes: USD 433.94.
request_217,17783.36,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,,reduce_to:event_20033:707.25|reduce_to:event_19950:561.44,installments: completes ZAR 37180 by 2024-05-20; total paid ZAR 38667.21. Projected 90-day minimum ZAR 26800 versus protected 26800. Safe today before changes: ZAR 17783.36. Requires the listed permitted recurring-spending changes.
request_218,23912703.18,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,installments: completes IDR 61142000 by 2025-10-02; total paid IDR 63587679.99. Projected 90-day minimum IDR 36056844.25 versus protected 34477200. Safe today before changes: IDR 23912703.18.
request_219,685.91,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,reduce_to:event_20135:33.16,installments: completes EUR 1673.1 by 2026-06-06; total paid EUR 1740.03. Projected 90-day minimum EUR 1100.02 versus protected 1100. Safe today before changes: EUR 685.91. Requires the listed permitted recurring-spending changes.
request_220,36.8,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 36.8.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,full_payment: completes INR 109800 by 2025-11-03; total paid INR 109800. Projected 90-day minimum INR 99829.54 versus protected 81500. Safe today before changes: INR 109800.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,full_payment: completes ZAR 34078 by 2026-01-05; total paid ZAR 34078. Projected 90-day minimum ZAR 56034.61 versus protected 27300. Safe today before changes: ZAR 34078.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,full_payment: completes EUR 898.7 by 2024-09-07; total paid EUR 898.7. Projected 90-day minimum EUR 980.32 versus protected 800. Safe today before changes: EUR 898.7.
request_224,9093636.46,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,,reduce_to:event_20601:814533.52,installments: completes IDR 10327000 by 2025-03-04; total paid IDR 10740080. Projected 90-day minimum IDR 22187600.01 versus protected 22187600. Safe today before changes: IDR 9093636.46. Requires the listed permitted recurring-spending changes.
request_225,9163666.66,not_affordable,not_recommended,none,2026-09-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 9163666.66.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,full_payment: completes INR 157000 by 2024-12-03; total paid INR 157000. Projected 90-day minimum INR 230414.74 versus protected 209400. Safe today before changes: INR 157000.
request_227,6110.25,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 6110.25.
request_228,858461.94,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 858461.94.
request_229,407.13,not_affordable,not_recommended,none,2024-05-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 407.13.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,full_payment: completes EUR 3537.6 by 2025-08-06; total paid EUR 3537.6. Projected 90-day minimum EUR 3923.94 versus protected 2000. Safe today before changes: EUR 3537.6.
request_231,29136.98,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-03-15,reduce_to:event_21280:1199.86,installments: completes ZAR 35706 by 2026-03-07; total paid ZAR 37134.24. Projected 90-day minimum ZAR 24300.04 versus protected 24300. Safe today before changes: ZAR 29136.98. Requires the listed permitted recurring-spending changes.
request_232,210.1,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 210.1.
request_233,3525655.68,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,,stop:event_21414,installments: completes IDR 6241000 by 2025-12-15; total paid IDR 6490640. Projected 90-day minimum IDR 10714001.86 versus protected 10365700. Safe today before changes: IDR 3525655.68. Requires the listed permitted recurring-spending changes.
request_234,166.5,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,wait: completes EUR 1213.3 by 2026-09-15; total paid EUR 1213.3. Projected 90-day minimum EUR 866.5 versus protected 700. Safe today before changes: EUR 166.5.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,full_payment: completes USD 967.2 by 2024-09-06; total paid USD 967.2. Projected 90-day minimum USD 790.57 versus protected 700. Safe today before changes: USD 967.2.
request_236,5253305.38,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 5253305.38.
request_237,17727292.92,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 17727292.92.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,installments: completes USD 663.6 by 2025-02-07; total paid USD 690.15. Projected 90-day minimum USD 1230.44 versus protected 700. Safe today before changes: USD 663.6.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,full_payment: completes USD 642 by 2025-05-04; total paid USD 642. Projected 90-day minimum USD 635.65 versus protected 600. Safe today before changes: USD 642.
request_240,13491.65,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 13491.65.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,stop:event_22136,installments: completes IDR 21052000 by 2024-05-18; total paid IDR 21894080.01. Projected 90-day minimum IDR 19350917.13 versus protected 19252000. Safe today before changes: IDR 21052000. Requires the listed permitted recurring-spending changes.
request_242,10.37,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 10.37.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,full_payment: completes ZAR 17468 by 2026-07-07; total paid ZAR 17468. Projected 90-day minimum ZAR 22656.82 versus protected 19900. Safe today before changes: ZAR 17468.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,full_payment: completes ZAR 49918 by 2024-06-04; total paid ZAR 49918. Projected 90-day minimum ZAR 55460.72 versus protected 45900. Safe today before changes: ZAR 49918.
request_245,19677.22,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 19677.22.
request_246,62956.15,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,,reduce_to:event_22590:1255.23,installments: completes ZAR 64086 by 2026-06-02; total paid ZAR 66649.44. Projected 90-day minimum ZAR 39300.01 versus protected 39300. Safe today before changes: ZAR 62956.15. Requires the listed permitted recurring-spending changes.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,full_payment: completes EUR 1059.3 by 2024-09-05; total paid EUR 1059.3. Projected 90-day minimum EUR 1350.76 versus protected 1300. Safe today before changes: EUR 1059.3.
request_248,914.91,affordable_with_plan,partial_payment,2025-02-07:914.91|2025-04-15:1050.69,2025-04-15,none,partial_payment: completes USD 1965.6 by 2025-04-15; total paid USD 1965.6. Projected 90-day minimum USD 1300 versus protected 1300. Safe today before changes: USD 914.91.
request_249,111.05,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 111.05.
request_250,15007.81,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 15007.81.
request_251,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 0.
request_252,3327025.91,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,wait: completes IDR 28082000 by 2026-09-15; total paid IDR 28082000. Projected 90-day minimum IDR 18479225.91 versus protected 15152200. Safe today before changes: IDR 3327025.91.
request_253,1330.51,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,reduce_to:event_23293:76.81,installments: completes EUR 2840.2 by 2024-05-22; total paid EUR 2953.8. Projected 90-day minimum EUR 2300.03 versus protected 2300. Safe today before changes: EUR 1330.51. Requires the listed permitted recurring-spending changes.
request_254,592.2,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,wait: completes USD 3535.2 by 2025-10-15; total paid USD 3535.2. Projected 90-day minimum USD 3092.2 versus protected 2500. Safe today before changes: USD 592.2.
request_255,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 0.
request_256,145685.49,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-08-15,reduce_to:event_23541:4930.36,installments: completes INR 218700 by 2024-08-11; total paid INR 227448. Projected 90-day minimum INR 168600 versus protected 168600. Safe today before changes: INR 145685.49. Requires the listed permitted recurring-spending changes.
request_257,205.66,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 205.66.
request_258,1057.1,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 1057.1.
request_259,199.61,affordable_later,wait,2024-11-15:935,2024-11-15,none,wait: completes EUR 935 by 2024-11-15; total paid EUR 935. Projected 90-day minimum EUR 799.61 versus protected 600. Safe today before changes: EUR 199.61.
request_260,5527599.84,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 5527599.84.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,full_payment: completes EUR 1830.4 by 2026-07-03; total paid EUR 1830.4. Projected 90-day minimum EUR 1739.95 versus protected 1500. Safe today before changes: EUR 1830.4.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,full_payment: completes IDR 9236000 by 2024-12-05; total paid IDR 9236000. Projected 90-day minimum IDR 56117708.81 versus protected 31018500. Safe today before changes: IDR 9236000.
request_263,4925.25,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 4925.25.
request_264,22053.1,affordable_later,wait,2026-06-15:111300,2026-06-15,none,wait: completes INR 111300 by 2026-06-15; total paid INR 111300. Projected 90-day minimum INR 81553.1 versus protected 59500. Safe today before changes: INR 22053.1.
request_265,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 0.
request_266,744.43,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 744.43.
request_267,1557.19,not_affordable,not_recommended,none,2026-03-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 1557.19.
request_268,1032.18,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,installments: completes EUR 2426.6 by 2024-08-15; total paid EUR 2523.66. Projected 90-day minimum EUR 1590.96 versus protected 1400. Safe today before changes: EUR 1032.18.
request_269,9108.19,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 9108.19.
request_270,57.96,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 57.96.
request_271,11938.85,affordable_later,wait,2024-11-15:91300,2024-11-15,none,wait: completes INR 91300 by 2024-11-15; total paid INR 91300. Projected 90-day minimum INR 70138.85 versus protected 58200. Safe today before changes: INR 11938.85.
request_272,5293372.4,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,installments: completes IDR 13585000 by 2025-04-09; total paid IDR 14128400.01. Projected 90-day minimum IDR 8092505.73 versus protected 7508600. Safe today before changes: IDR 5293372.4.
request_273,9192347.08,affordable_with_plan,partial_payment,2026-04-07:9192347.08|2026-04-15:6668652.92,2026-04-15,none,partial_payment: completes IDR 15861000 by 2026-04-15; total paid IDR 15861000. Projected 90-day minimum IDR 18774600 versus protected 18774600. Safe today before changes: IDR 9192347.08.
request_274,2010.16,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 2010.16.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,full_payment: completes IDR 15884000 by 2025-05-06; total paid IDR 15884000. Projected 90-day minimum IDR 13744312.68 versus protected 12760100. Safe today before changes: IDR 15884000.
